Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Note 1,Note 2,Note 3
2011,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),14.7,26.7,21.6,,,
2012,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),13.3,24.3,19.6,,,
2013,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),12.6,23.6,18.8,,,
2014,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),13.3,23.1,18.9,,,
2015,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),12.8,22.4,18.4,,,
2016,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),12.2,21.7,17.6,,,
2017,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),12.4,21.8,17.8,,,
2018,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),11.5,21.5,17,,,
2019,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),10.6,20.2,15.6,,,
2011,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),18.9,26.5,22.7,,,
2012,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),17.3,24.3,21,,,
2013,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),16.1,23.6,19.9,,,
2014,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),16.3,22.8,19.8,,,
2015,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),16.7,22.6,20,,,
2016,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),15.1,21.3,18.4,,,
2017,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),16.2,21.9,19.4,,,
2018,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),14.5,21.1,17.7,,,
2019,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),12.9,19.2,16,,,
2011,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),18.2,26.5,22.8,,,
2012,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),16.3,24,20.6,,,
2013,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),15.6,23.4,19.9,,,
2014,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),16.3,22.8,19.9,,,
2015,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),15.9,22,19.3,,,
2016,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),14.7,21.6,18.5,,,
2017,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),15,21.3,18.5,,,
2018,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),13.7,21.8,17.8,,,
2019,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),12.7,20.6,16.5,,,
2011,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),25.4,38.6,31,,,
2012,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),23,36.7,28.7,,,
2013,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),22.5,35.6,28,,,
2014,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),21.1,34.2,26.7,,,
2015,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),20.9,30.9,25.2,,,
2016,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),19.9,29.9,24.4,,,
2017,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),20.4,30.1,24.6,,,
