Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Note 1,Note 2,Note 3
2010,Citywide,New York City, New York City,1,Nitric Oxide (NO),14.2,30.5,23.2,,,
2011,Citywide,New York City, New York City,1,Nitric Oxide (NO),12.6,24.9,18.7,,,
2012,Citywide,New York City, New York City,1,Nitric Oxide (NO),10.8,22.4,16.7,,,
2013,Citywide,New York City, New York City,1,Nitric Oxide (NO),11.9,26.7,19.5,,,
2014,Citywide,New York City, New York City,1,Nitric Oxide (NO),10.6,23,17.5,,,
2015,Citywide,New York City, New York City,1,Nitric Oxide (NO),10.1,20.1,15.6,,,
2016,Citywide,New York City, New York City,1,Nitric Oxide (NO),7.9,17.1,12.9,,,
2017,Citywide,New York City, New York City,1,Nitric Oxide (NO),7.2,16,11.7,,,
2018,Citywide,New York City, New York City,1,Nitric Oxide (NO),6.8,14.4,10.7,,,
2010,Borough,Bronx, Bronx,1,Nitric Oxide (NO),18.5,31.3,24.3,,,
2011,Borough,Bronx, Bronx,1,Nitric Oxide (NO),14.1,26.1,19.6,,,
2012,Borough,Bronx, Bronx,1,Nitric Oxide (NO),12.5,23.7,17.6,,,
2013,Borough,Bronx, Bronx,1,Nitric Oxide (NO),15.2,27,20.6,,,
2014,Borough,Bronx, Bronx,1,Nitric Oxide (NO),13.5,23.4,18.1,,,
2015,Borough,Bronx, Bronx,1,Nitric Oxide (NO),12.5,18.9,15.4,,,
2016,Borough,Bronx, Bronx,1,Nitric Oxide (NO),11.1,16.4,13.6,,,
2017,Borough,Bronx, Bronx,1,Nitric Oxide (NO),10,14.9,12.3,,,
2018,Borough,Bronx, Bronx,1,Nitric Oxide (NO),9.4,14.3,11.7,,,
2010,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),19,29,23.7,,,
2011,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),15,23.1,18.8,,,
2012,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),13.4,20.8,16.7,,,
2013,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),16.4,25.8,20.8,,,
2014,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),15,22.4,18.5,,,
2015,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),14,21.1,17.4,,,
2016,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),11.5,18,14.7,,,
2017,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),10.1,17,13.5,,,
2018,Borough,Brooklyn, Brooklyn,2,Nitric Oxide (NO),8.6,15.2,11.4,,,
2010,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),27,58.2,40.8,,,
2011,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),21.6,49.4,34,,,
2012,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),19.1,44.4,30.4,,,
2013,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),24.1,48.4,35.1,,,
2014,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),19.3,40.7,28.9,,,
2015,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),15.4,34,23.6,,,
2016,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),13.8,30.2,20.9,,,
2017,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),13.6,27.7,19.6,,,
2018,Borough,Manhattan, Manhattan,3,Nitric Oxide (NO),11.8,17.3,14.3,,,
2010,Borough,Queens, Queens,4,Nitric Oxide (NO),20.4,28,23.6,,,
2011,Borough,Queens, Queens,4,Nitric Oxide (NO),15.5,22.3,18.4,,,
2012,Borough,Queens, Queens,4,Nitric Oxide (NO),13.8,20.2,16.5,,,
2013,Borough,Queens, Queens,4,Nitric Oxide (NO),15.2,24.1,19,,,
2014,Borough,Queens, Queens,4,Nitric Oxide (NO),15.2,21.3,17.8,,,
2015,Borough,Queens, Queens,4,Nitric Oxide (NO),13.6,18.5,15.7,,,
2016,Borough,Queens, Queens,4,Nitric Oxide (NO),10.4,15.2,12.5,,,
2017,Borough,Queens, Queens,4,Nitric Oxide (NO),8.9,13.6,11.1,,,
2018,Borough,Queens, Queens,4,Nitric Oxide (NO),9,12.9,11.1,,,
2010,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),11.4,18.4,14.7,,,
2011,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),11.2,15.7,13.2,,,
2012,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),9.3,13.7,11.3,,,
2013,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),8.6,16.4,12.3,,,
2014,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),8.3,14.4,11.1,,,
2015,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),8.3,12.9,10.5,,,
2016,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),6.1,10.7,8.3,,,
2017,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),6.1,9.6,7.6,,,
2018,Borough,Staten Island, Staten Island,5,Nitric Oxide (NO),5.7,8.7,7.2,,,
2010,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),20.5,27.6,23.7,,,
2011,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),15.4,22.3,18.5,,,
2012,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),13.9,20.7,16.8,,,
2013,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),14.7,22.4,18.1,,,
2014,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),14.9,21.8,17.8,,,
2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),13.5,18.2,15.6,,,
2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),10.6,14,12.2,,,
2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),9.3,12,10.4,,,
2018,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitric Oxide (NO),9.7,11.7,10.6,,,
